Date,Start (ET),Visitor team,Visitor team's points,Home team,Home team's points,Attendance,Arena,Notes
"Tue, Oct 18, 2022",7:30p,Philadelphia 76ers,117,Boston Celtics,126,"19,156",TD Garden,Regular Season
"Tue, Oct 18, 2022",10:00p,Los Angeles Lakers,109,Golden State Warriors,123,"18,064",Chase Center,Regular Season
"Wed, Oct 19, 2022",7:00p,Orlando Magic,109,Detroit Pistons,113,"20,190",Little Caesars Arena,Regular Season
"Wed, Oct 19, 2022",7:00p,Washington Wizards,114,Indiana Pacers,107,"15,027",Gainbridge Fieldhouse,Regular Season
"Wed, Oct 19, 2022",7:30p,Houston Rockets,107,Atlanta Hawks,117,"17,878",State Farm Arena,Regular Season
"Wed, Oct 19, 2022",7:30p,New Orleans Pelicans,130,Brooklyn Nets,108,"18,003",Barclays Center,Regular Season
"Wed, Oct 19, 2022",7:30p,New York Knicks,112,Memphis Grizzlies,115,"18,202",FedEx Forum,Regular Season
"Wed, Oct 19, 2022",7:30p,Chicago Bulls,116,Miami Heat,108,"19,600",Kaseya Center,Regular Season
"Wed, Oct 19, 2022",7:30p,Cleveland Cavaliers,105,Toronto Raptors,108,"19,800",Scotiabank Arena,Regular Season
"Wed, Oct 19, 2022",8:00p,Oklahoma City Thunder,108,Minnesota Timberwolves,115,"17,136",Target Center,Regular Season
"Wed, Oct 19, 2022",8:00p,Charlotte Hornets,129,San Antonio Spurs,102,"16,236",AT&T Center,Regular Season
"Wed, Oct 19, 2022",9:00p,Denver Nuggets,102,Utah Jazz,123,"18,206",Vivint Arena,Regular Season
"Wed, Oct 19, 2022",10:00p,Dallas Mavericks,105,Phoenix Suns,107,"17,071",Footprint Center,Regular Season
"Wed, Oct 19, 2022",10:00p,Portland Trail Blazers,115,Sacramento Kings,108,"17,611",Golden 1 Center,Regular Season
"Thu, Oct 20, 2022",7:30p,Milwaukee Bucks,90,Philadelphia 76ers,88,"20,060",Wells Fargo Center,Regular Season
"Thu, Oct 20, 2022",10:00p,Los Angeles Clippers,103,Los Angeles Lakers,97,"18,997",Crypto.com Arena,Regular Season
"Fri, Oct 21, 2022",7:00p,New Orleans Pelicans,124,Charlotte Hornets,112,"19,287",Spectrum Center,Regular Season
"Fri, Oct 21, 2022",7:00p,San Antonio Spurs,137,Indiana Pacers,134,"12,073",Gainbridge Fieldhouse,Regular Season
"Fri, Oct 21, 2022",7:00p,Chicago Bulls,100,Washington Wizards,102,"20,476",Capital One Arena,Regular Season
"Fri, Oct 21, 2022",7:30p,Orlando Magic,98,Atlanta Hawks,108,"17,822",State Farm Arena,Regular Season
"Fri, Oct 21, 2022",7:30p,Toronto Raptors,105,Brooklyn Nets,109,"17,732",Barclays Center,Regular Season
"Fri, Oct 21, 2022",7:30p,Boston Celtics,111,Miami Heat,104,"19,600",Kaseya Center,Regular Season
"Fri, Oct 21, 2022",7:30p,Detroit Pistons,106,New York Knicks,130,"19,812",Madison Square Garden (IV),Regular Season
"Fri, Oct 21, 2022",8:00p,Memphis Grizzlies,129,Houston Rockets,122,"18,055",Toyota Center,Regular Season
"Fri, Oct 21, 2022",8:00p,Utah Jazz,132,Minnesota Timberwolves,126,"17,136",Target Center,Regular Season
"Fri, Oct 21, 2022",10:00p,Denver Nuggets,128,Golden State Warriors,123,"18,064",Chase Center,Regular Season
"Fri, Oct 21, 2022",10:00p,Phoenix Suns,111,Portland Trail Blazers,113,"19,393",Moda Center,Regular Season
"Sat, Oct 22, 2022",6:00p,San Antonio Spurs,114,Philadelphia 76ers,105,"19,822",Wells Fargo Center,Regular Season
"Sat, Oct 22, 2022",7:00p,Detroit Pistons,115,Indiana Pacers,124,"16,056",Gainbridge Fieldhouse,Regular Season
"Sat, Oct 22, 2022",7:00p,Boston Celtics,126,Orlando Magic,120,"19,299",Amway Center,Regular Season
"Sat, Oct 22, 2022",8:00p,Cleveland Cavaliers,128,Chicago Bulls,96,"21,089",United Center,Regular Season
"Sat, Oct 22, 2022",8:00p,Toronto Raptors,109,Miami Heat,112,"19,600",Kaseya Center,Regular Season
"Sat, Oct 22, 2022",8:00p,Houston Rockets,105,Milwaukee Bucks,125,"17,341",Fiserv Forum,Regular Season
"Sat, Oct 22, 2022",8:30p,Memphis Grizzlies,96,Dallas Mavericks,137,"20,377",American Airlines Center,Regular Season
"Sat, Oct 22, 2022",9:00p,Oklahoma City Thunder,117,Denver Nuggets,122,"19,983",Ball Arena,Regular Season
"Sat, Oct 22, 2022",10:00p,Los Angeles Clippers,111,Sacramento Kings,109,"16,296",Golden 1 Center,Regular Season
"Sun, Oct 23, 2022",3:30p,Portland Trail Blazers,106,Los Angeles Lakers,104,"18,997",Crypto.com Arena,Regular Season
"Sun, Oct 23, 2022",5:00p,Charlotte Hornets,126,Atlanta Hawks,109,"17,383",State Farm Arena,Regular Season
"Sun, Oct 23, 2022",7:00p,Washington Wizards,107,Cleveland Cavaliers,117,"19,432",Rocket Mortgage Fieldhouse,Regular Season
"Sun, Oct 23, 2022",7:00p,Utah Jazz,122,New Orleans Pelicans,121,"18,665",Smoothie King Center,Regular Season
"Sun, Oct 23, 2022",8:00p,Minnesota Timberwolves,116,Oklahoma City Thunder,106,"15,044",Paycom Center,Regular Season
"Sun, Oct 23, 2022",8:30p,Sacramento Kings,125,Golden State Warriors,130,"18,064",Chase Center,Regular Season
"Sun, Oct 23, 2022",10:00p,Phoenix Suns,112,Los Angeles Clippers,95,"19,068",Crypto.com Arena,Regular Season
"Mon, Oct 24, 2022",7:00p,Indiana Pacers,106,Philadelphia 76ers,120,"19,786",Wells Fargo Center,Regular Season
"Mon, Oct 24, 2022",7:30p,Toronto Raptors,98,Miami Heat,90,"19,600",Kaseya Center,Regular Season
"Mon, Oct 24, 2022",7:30p,Orlando Magic,102,New York Knicks,115,"18,800",Madison Square Garden (IV),Regular Season
"Mon, Oct 24, 2022",8:00p,Boston Celtics,102,Chicago Bulls,120,"17,673",United Center,Regular Season
"Mon, Oct 24, 2022",8:00p,Utah Jazz,108,Houston Rockets,114,"16,260",Toyota Center,Regular Season
"Mon, Oct 24, 2022",8:00p,Brooklyn Nets,124,Memphis Grizzlies,134,"17,392",FedEx Forum,Regular Season
"Mon, Oct 24, 2022",8:00p,San Antonio Spurs,115,Minnesota Timberwolves,106,"15,347",Target Center,Regular Season
"Mon, Oct 24, 2022",10:00p,Denver Nuggets,110,Portland Trail Blazers,135,"18,111",Moda Center,Regular Season
"Tue, Oct 25, 2022",7:00p,Detroit Pistons,99,Washington Wizards,120,"13,196",Capital One Arena,Regular Season
"Tue, Oct 25, 2022",7:30p,Dallas Mavericks,111,New Orleans Pelicans,113,"14,020",Smoothie King Center,Regular Season
"Tue, Oct 25, 2022",8:00p,Los Angeles Clippers,94,Oklahoma City Thunder,108,"13,105",Paycom Center,Regular Season
"Tue, Oct 25, 2022",10:00p,Golden State Warriors,105,Phoenix Suns,134,"17,071",Footprint Center,Regular Season
"Wed, Oct 26, 2022",7:00p,Orlando Magic,92,Cleveland Cavaliers,103,0,Rocket Mortgage Fieldhouse,Regular Season
"Wed, Oct 26, 2022",7:00p,Atlanta Hawks,118,Detroit Pistons,113,"17,987",Little Caesars Arena,Regular Season
"Wed, Oct 26, 2022",7:30p,Brooklyn Nets,99,Milwaukee Bucks,110,"17,341",Fiserv Forum,Regular Season
"Wed, Oct 26, 2022",7:30p,Charlotte Hornets,131,New York Knicks,134,"19,812",Madison Square Garden (IV),Regular Season
"Wed, Oct 26, 2022",7:30p,Philadelphia 76ers,109,Toronto Raptors,119,"19,800",Scotiabank Arena,Regular Season
"Wed, Oct 26, 2022",8:00p,Indiana Pacers,109,Chicago Bulls,124,"18,306",United Center,Regular Season
"Wed, Oct 26, 2022",8:00p,San Antonio Spurs,122,Minnesota Timberwolves,134,"16,165",Target Center,Regular Season
"Wed, Oct 26, 2022",9:00p,Houston Rockets,101,Utah Jazz,109,"18,206",Vivint Arena,Regular Season
"Wed, Oct 26, 2022",10:00p,Los Angeles Lakers,99,Denver Nuggets,110,"19,520",Ball Arena,Regular Season
"Wed, Oct 26, 2022",10:00p,Miami Heat,119,Portland Trail Blazers,98,"18,588",Moda Center,Regular Season
"Thu, Oct 27, 2022",7:30p,Dallas Mavericks,129,Brooklyn Nets,125,"18,039",Barclays Center,Regular Season
"Thu, Oct 27, 2022",8:00p,Los Angeles Clippers,110,Oklahoma City Thunder,118,"14,510",Paycom Center,Regular Season
"Thu, Oct 27, 2022",10:00p,Miami Heat,110,Golden State Warriors,123,"18,064",Chase Center,Regular Season
"Thu, Oct 27, 2022",10:00p,Memphis Grizzlies,125,Sacramento Kings,110,"15,511",Golden 1 Center,Regular Season
"Fri, Oct 28, 2022",7:00p,Atlanta Hawks,136,Detroit Pistons,112,"18,923",Little Caesars Arena,Regular Season
"Fri, Oct 28, 2022",7:00p,Charlotte Hornets,93,Orlando Magic,113,"18,846",Amway Center,Regular Season
"Fri, Oct 28, 2022",7:30p,Cleveland Cavaliers,132,Boston Celtics,123,"19,156",TD Garden,Regular Season
"Fri, Oct 28, 2022",7:30p,Philadelphia 76ers,112,Toronto Raptors,90,"19,800",Scotiabank Arena,Regular Season
"Fri, Oct 28, 2022",7:30p,Indiana Pacers,127,Washington Wizards,117,"13,463",Capital One Arena,Regular Season
"Fri, Oct 28, 2022",8:00p,New York Knicks,108,Milwaukee Bucks,119,"17,341",Fiserv Forum,Regular Season
"Fri, Oct 28, 2022",8:00p,Los Angeles Lakers,102,Minnesota Timberwolves,111,"17,136",Target Center,Regular Season
"Fri, Oct 28, 2022",8:30p,Chicago Bulls,124,San Antonio Spurs,129,"16,562",AT&T Center,Regular Season
"Fri, Oct 28, 2022",9:00p,Utah Jazz,101,Denver Nuggets,117,"19,560",Ball Arena,Regular Season
"Fri, Oct 28, 2022",10:00p,New Orleans Pelicans,111,Phoenix Suns,124,"17,071",Footprint Center,Regular Season
"Fri, Oct 28, 2022",10:00p,Houston Rockets,111,Portland Trail Blazers,125,"19,082",Moda Center,Regular Season
"Sat, Oct 29, 2022",6:00p,Miami Heat,113,Sacramento Kings,119,"14,618",Golden 1 Center,Regular Season
"Sat, Oct 29, 2022",7:00p,Golden State Warriors,113,Charlotte Hornets,120,"19,079",Spectrum Center,Regular Season
"Sat, Oct 29, 2022",7:30p,Indiana Pacers,125,Brooklyn Nets,116,"17,732",Barclays Center,Regular Season
"Sat, Oct 29, 2022",8:00p,Philadelphia 76ers,114,Chicago Bulls,109,"19,010",United Center,Regular Season
"Sat, Oct 29, 2022",8:00p,Atlanta Hawks,115,Milwaukee Bucks,123,"17,341",Fiserv Forum,Regular Season
"Sat, Oct 29, 2022",9:00p,Oklahoma City Thunder,117,Dallas Mavericks,111,"20,307",American Airlines Center,Regular Season
"Sat, Oct 29, 2022",9:00p,Memphis Grizzlies,123,Utah Jazz,124,"18,206",Vivint Arena,Regular Season
"Sun, Oct 30, 2022",3:00p,New Orleans Pelicans,112,Los Angeles Clippers,91,"18,142",Crypto.com Arena,Regular Season
"Sun, Oct 30, 2022",6:00p,Washington Wizards,94,Boston Celtics,112,"19,156",TD Garden,Regular Season
"Sun, Oct 30, 2022",6:00p,New York Knicks,108,Cleveland Cavaliers,121,"19,432",Rocket Mortgage Fieldhouse,Regular Season
"Sun, Oct 30, 2022",6:00p,Golden State Warriors,114,Detroit Pistons,128,"20,190",Little Caesars Arena,Regular Season
"Sun, Oct 30, 2022",7:00p,Minnesota Timberwolves,98,San Antonio Spurs,107,"15,053",AT&T Center,Regular Season
"Sun, Oct 30, 2022",7:30p,Orlando Magic,105,Dallas Mavericks,114,"20,042",American Airlines Center,Regular Season
"Sun, Oct 30, 2022",9:00p,Houston Rockets,109,Phoenix Suns,124,"17,071",Footprint Center,Regular Season
"Sun, Oct 30, 2022",9:30p,Denver Nuggets,110,Los Angeles Lakers,121,"18,997",Crypto.com Arena,Regular Season
"Mon, Oct 31, 2022",7:00p,Sacramento Kings,115,Charlotte Hornets,108,"12,020",Spectrum Center,Regular Season
"Mon, Oct 31, 2022",7:00p,Philadelphia 76ers,118,Washington Wizards,111,"13,746",Capital One Arena,Regular Season
"Mon, Oct 31, 2022",7:30p,Indiana Pacers,109,Brooklyn Nets,116,"15,770",Barclays Center,Regular Season
"Mon, Oct 31, 2022",7:30p,Atlanta Hawks,109,Toronto Raptors,139,"19,800",Scotiabank Arena,Regular Season
"Mon, Oct 31, 2022",8:00p,Detroit Pistons,108,Milwaukee Bucks,110,"17,341",Fiserv Forum,Regular Season
"Mon, Oct 31, 2022",9:00p,Memphis Grizzlies,105,Utah Jazz,121,"18,206",Vivint Arena,Regular Season
"Mon, Oct 31, 2022",10:30p,Houston Rockets,93,Los Angeles Clippers,95,"14,887",Crypto.com Arena,Regular Season
"Tue, Nov 1, 2022",7:30p,Chicago Bulls,108,Brooklyn Nets,99,"17,732",Barclays Center,Regular Season
"Tue, Nov 1, 2022",7:30p,Golden State Warriors,109,Miami Heat,116,"19,600",Kaseya Center,Regular Season
"Tue, Nov 1, 2022",8:00p,Orlando Magic,108,Oklahoma City Thunder,116,"13,109",Paycom Center,Regular Season
"Tue, Nov 1, 2022",10:00p,Minnesota Timberwolves,107,Phoenix Suns,116,"17,071",Footprint Center,Regular Season
"Wed, Nov 2, 2022",6:00p,Washington Wizards,121,Philadelphia 76ers,111,"19,855",Wells Fargo Center,Regular Season
"Wed, Nov 2, 2022",7:30p,Boston Celtics,113,Cleveland Cavaliers,114,"19,432",Rocket Mortgage Fieldhouse,Regular Season
"Wed, Nov 2, 2022",7:30p,Sacramento Kings,107,Miami Heat,110,"19,600",Kaseya Center,Regular Season
"Wed, Nov 2, 2022",7:30p,Atlanta Hawks,112,New York Knicks,99,"19,812",Madison Square Garden (IV),Regular Season
"Wed, Nov 2, 2022",8:00p,Charlotte Hornets,88,Chicago Bulls,106,"17,886",United Center,Regular Season
"Wed, Nov 2, 2022",8:00p,Los Angeles Clippers,109,Houston Rockets,101,"15,860",Toyota Center,Regular Season
"Wed, Nov 2, 2022",8:00p,Detroit Pistons,91,Milwaukee Bucks,116,"17,341",Fiserv Forum,Regular Season
"Wed, Nov 2, 2022",8:00p,Toronto Raptors,143,San Antonio Spurs,100,"12,155",AT&T Center,Regular Season
"Wed, Nov 2, 2022",8:30p,Utah Jazz,100,Dallas Mavericks,103,"19,877",American Airlines Center,Regular Season
"Wed, Nov 2, 2022",10:00p,Memphis Grizzlies,111,Portland Trail Blazers,106,"19,462",Moda Center,Regular Season
"Wed, Nov 2, 2022",10:30p,New Orleans Pelicans,117,Los Angeles Lakers,120,"18,997",Crypto.com Arena,Regular Season
"Thu, Nov 3, 2022",7:00p,Golden State Warriors,129,Orlando Magic,130,"18,846",Amway Center,Regular Season
"Thu, Nov 3, 2022",8:00p,Denver Nuggets,122,Oklahoma City Thunder,110,"13,791",Paycom Center,Regular Season
"Fri, Nov 4, 2022",7:00p,Cleveland Cavaliers,112,Detroit Pistons,88,"18,744",Little Caesars Arena,Regular Season
"Fri, Nov 4, 2022",7:00p,Miami Heat,99,Indiana Pacers,101,"13,141",Gainbridge Fieldhouse,Regular Season
"Fri, Nov 4, 2022",7:00p,New York Knicks,106,Philadelphia 76ers,104,"20,679",Wells Fargo Center,Regular Season
"Fri, Nov 4, 2022",7:00p,Brooklyn Nets,128,Washington Wizards,86,"17,258",Capital One Arena,Regular Season
"Fri, Nov 4, 2022",7:30p,Chicago Bulls,119,Boston Celtics,123,"19,156",TD Garden,Regular Season
"Fri, Nov 4, 2022",8:00p,Charlotte Hornets,99,Memphis Grizzlies,130,"17,187",FedEx Forum,Regular Season
"Fri, Nov 4, 2022",8:00p,Los Angeles Clippers,113,San Antonio Spurs,106,"12,603",AT&T Center,Regular Season
"Fri, Nov 4, 2022",8:30p,Toronto Raptors,110,Dallas Mavericks,111,"20,177",American Airlines Center,Regular Season
"Fri, Nov 4, 2022",8:30p,Golden State Warriors,105,New Orleans Pelicans,114,"18,451",Smoothie King Center,Regular Season
"Fri, Nov 4, 2022",10:00p,Milwaukee Bucks,115,Minnesota Timberwolves,102,"17,136",Target Center,Regular Season
"Fri, Nov 4, 2022",10:00p,Portland Trail Blazers,108,Phoenix Suns,106,"17,071",Footprint Center,Regular Season
"Fri, Nov 4, 2022",10:30p,Utah Jazz,130,Los Angeles Lakers,116,"18,997",Crypto.com Arena,Regular Season
"Sat, Nov 5, 2022",5:00p,Sacramento Kings,126,Orlando Magic,123,"18,846",Amway Center,Regular Season
"Sat, Nov 5, 2022",7:00p,Brooklyn Nets,98,Charlotte Hornets,94,"19,398",Spectrum Center,Regular Season
"Sat, Nov 5, 2022",7:30p,New Orleans Pelicans,121,Atlanta Hawks,124,"17,654",State Farm Arena,Regular Season
"Sat, Nov 5, 2022",7:30p,Boston Celtics,133,New York Knicks,118,"19,812",Madison Square Garden (IV),Regular Season
"Sat, Nov 5, 2022",8:00p,Oklahoma City Thunder,94,Milwaukee Bucks,108,"17,713",Fiserv Forum,Regular Season
"Sat, Nov 5, 2022",8:00p,Houston Rockets,117,Minnesota Timberwolves,129,"16,412",Target Center,Regular Season
"Sat, Nov 5, 2022",9:00p,San Antonio Spurs,101,Denver Nuggets,126,"19,641",Ball Arena,Regular Season
"Sat, Nov 5, 2022",10:00p,Portland Trail Blazers,82,Phoenix Suns,102,"17,071",Footprint Center,Regular Season
"Sun, Nov 6, 2022",3:30p,Cleveland Cavaliers,114,Los Angeles Lakers,100,"18,997",Crypto.com Arena,Regular Season
"Sun, Nov 6, 2022",6:00p,Washington Wizards,97,Memphis Grizzlies,103,"16,877",FedEx Forum,Regular Season
"Sun, Nov 6, 2022",6:00p,Chicago Bulls,104,Toronto Raptors,113,"19,800",Scotiabank Arena,Regular Season
"Sun, Nov 6, 2022",10:00p,Utah Jazz,110,Los Angeles Clippers,102,"16,111",Crypto.com Arena,Regular Season
"Mon, Nov 7, 2022",7:00p,Washington Wizards,108,Charlotte Hornets,100,"13,712",Spectrum Center,Regular Season
"Mon, Nov 7, 2022",7:15p,Houston Rockets,134,Orlando Magic,127,"15,441",Amway Center,Regular Season
"Mon, Nov 7, 2022",7:30p,Oklahoma City Thunder,103,Detroit Pistons,112,"16,223",Little Caesars Arena,Regular Season
"Mon, Nov 7, 2022",7:45p,New Orleans Pelicans,122,Indiana Pacers,129,"14,052",Gainbridge Fieldhouse,Regular Season
"Mon, Nov 7, 2022",8:00p,Phoenix Suns,88,Philadelphia 76ers,100,"20,347",Wells Fargo Center,Regular Season
"Mon, Nov 7, 2022",8:15p,Milwaukee Bucks,98,Atlanta Hawks,117,"17,494",State Farm Arena,Regular Season
"Mon, Nov 7, 2022",8:30p,Portland Trail Blazers,110,Miami Heat,107,"19,600",Kaseya Center,Regular Season
"Mon, Nov 7, 2022",8:45p,Toronto Raptors,97,Chicago Bulls,111,"21,142",United Center,Regular Season
"Mon, Nov 7, 2022",9:00p,Boston Celtics,109,Memphis Grizzlies,106,"17,371",FedEx Forum,Regular Season
"Mon, Nov 7, 2022",9:15p,New York Knicks,120,Minnesota Timberwolves,107,"14,524",Target Center,Regular Season
"Mon, Nov 7, 2022",9:30p,Denver Nuggets,115,San Antonio Spurs,109,"11,574",AT&T Center,Regular Season
"Mon, Nov 7, 2022",9:45p,Brooklyn Nets,94,Dallas Mavericks,96,"20,011",American Airlines Center,Regular Season
"Mon, Nov 7, 2022",10:00p,Sacramento Kings,113,Golden State Warriors,116,"18,064",Chase Center,Regular Season
"Mon, Nov 7, 2022",10:15p,Los Angeles Lakers,116,Utah Jazz,139,"18,206",Vivint Arena,Regular Season
"Mon, Nov 7, 2022",10:30p,Cleveland Cavaliers,117,Los Angeles Clippers,119,"16,516",Crypto.com Arena,Regular Season
"Wed, Nov 9, 2022",5:30p,Dallas Mavericks,87,Orlando Magic,94,"18,165",Amway Center,Regular Season
"Wed, Nov 9, 2022",7:00p,Portland Trail Blazers,105,Charlotte Hornets,95,"14,774",Spectrum Center,Regular Season
"Wed, Nov 9, 2022",7:00p,Denver Nuggets,122,Indiana Pacers,119,"14,069",Gainbridge Fieldhouse,Regular Season
"Wed, Nov 9, 2022",7:30p,Utah Jazz,125,Atlanta Hawks,119,"15,845",State Farm Arena,Regular Season
"Wed, Nov 9, 2022",7:30p,Detroit Pistons,112,Boston Celtics,128,"19,156",TD Garden,Regular Season
"Wed, Nov 9, 2022",7:30p,New York Knicks,85,Brooklyn Nets,112,"18,156",Barclays Center,Regular Season
"Wed, Nov 9, 2022",7:30p,Houston Rockets,109,Toronto Raptors,116,"19,800",Scotiabank Arena,Regular Season
"Wed, Nov 9, 2022",8:00p,New Orleans Pelicans,115,Chicago Bulls,111,"19,621",United Center,Regular Season
"Wed, Nov 9, 2022",8:00p,Phoenix Suns,129,Minnesota Timberwolves,117,"16,062",Target Center,Regular Season
"Wed, Nov 9, 2022",8:00p,Milwaukee Bucks,136,Oklahoma City Thunder,132,"15,180",Paycom Center,Regular Season
"Wed, Nov 9, 2022",8:00p,Memphis Grizzlies,124,San Antonio Spurs,122,"13,507",AT&T Center,Regular Season
"Wed, Nov 9, 2022",10:00p,Los Angeles Lakers,101,Los Angeles Clippers,114,"19,068",Crypto.com Arena,Regular Season
"Wed, Nov 9, 2022",10:00p,Cleveland Cavaliers,120,Sacramento Kings,127,"13,816",Golden 1 Center,Regular Season
"Thu, Nov 10, 2022",7:00p,Dallas Mavericks,105,Washington Wizards,113,"18,320",Capital One Arena,Regular Season
"Thu, Nov 10, 2022",7:30p,Philadelphia 76ers,95,Atlanta Hawks,104,"16,066",State Farm Arena,Regular Season
"Thu, Nov 10, 2022",7:30p,Charlotte Hornets,112,Miami Heat,117,"19,600",Kaseya Center,Regular Season
"Thu, Nov 10, 2022",8:00p,Portland Trail Blazers,106,New Orleans Pelicans,95,"14,289",Smoothie King Center,Regular Season
"Fri, Nov 11, 2022",7:00p,Denver Nuggets,112,Boston Celtics,131,"19,156",TD Garden,Regular Season
"Fri, Nov 11, 2022",7:00p,Phoenix Suns,97,Orlando Magic,114,"15,879",Amway Center,Regular Season
"Fri, Nov 11, 2022",7:30p,Detroit Pistons,112,New York Knicks,121,"19,812",Madison Square Garden (IV),Regular Season
"Fri, Nov 11, 2022",8:00p,Toronto Raptors,113,Oklahoma City Thunder,132,"16,104",Paycom Center,Regular Season
"Fri, Nov 11, 2022",8:00p,Milwaukee Bucks,93,San Antonio Spurs,111,"15,642",AT&T Center,Regular Season
"Fri, Nov 11, 2022",9:30p,Minnesota Timberwolves,103,Memphis Grizzlies,114,"16,939",FedEx Forum,Regular Season
"Fri, Nov 11, 2022",10:00p,Cleveland Cavaliers,101,Golden State Warriors,106,"18,064",Chase Center,Regular Season
"Fri, Nov 11, 2022",10:30p,Sacramento Kings,120,Los Angeles Lakers,114,"17,849",Crypto.com Arena,Regular Season
"Sat, Nov 12, 2022",4:00p,Brooklyn Nets,110,Los Angeles Clippers,95,"17,777",Crypto.com Arena,Regular Season
"Sat, Nov 12, 2022",6:00p,Utah Jazz,112,Washington Wizards,121,"13,673",Capital One Arena,Regular Season
"Sat, Nov 12, 2022",7:00p,Boston Celtics,117,Detroit Pistons,108,"20,190",Little Caesars Arena,Regular Season
"Sat, Nov 12, 2022",7:00p,Toronto Raptors,104,Indiana Pacers,118,"13,089",Gainbridge Fieldhouse,Regular Season
"Sat, Nov 12, 2022",7:30p,Atlanta Hawks,109,Philadelphia 76ers,121,"20,245",Wells Fargo Center,Regular Season
"Sat, Nov 12, 2022",8:00p,Charlotte Hornets,115,Miami Heat,132,"19,600",Kaseya Center,Regular Season
"Sat, Nov 12, 2022",8:30p,Portland Trail Blazers,112,Dallas Mavericks,117,"20,277",American Airlines Center,Regular Season
"Sat, Nov 12, 2022",8:30p,Houston Rockets,106,New Orleans Pelicans,119,"15,367",Smoothie King Center,Regular Season
"Sun, Nov 13, 2022",12:00p,Oklahoma City Thunder,145,New York Knicks,135,"18,325",Madison Square Garden (IV),Regular Season
"Sun, Nov 13, 2022",6:00p,Minnesota Timberwolves,129,Cleveland Cavaliers,124,"19,432",Rocket Mortgage Fieldhouse,Regular Season
"Sun, Nov 13, 2022",6:00p,Memphis Grizzlies,92,Washington Wizards,102,"17,667",Capital One Arena,Regular Season
"Sun, Nov 13, 2022",7:30p,Utah Jazz,98,Philadelphia 76ers,105,"19,761",Wells Fargo Center,Regular Season
"Sun, Nov 13, 2022",8:00p,Denver Nuggets,126,Chicago Bulls,103,"21,602",United Center,Regular Season
"Sun, Nov 13, 2022",9:00p,Golden State Warriors,115,Sacramento Kings,122,"16,410",Golden 1 Center,Regular Season
"Sun, Nov 13, 2022",9:30p,Brooklyn Nets,103,Los Angeles Lakers,116,"18,040",Crypto.com Arena,Regular Season
"Mon, Nov 14, 2022",7:00p,Toronto Raptors,115,Detroit Pistons,111,"16,988",Little Caesars Arena,Regular Season
"Mon, Nov 14, 2022",7:00p,Charlotte Hornets,112,Orlando Magic,105,"15,018",Amway Center,Regular Season
"Mon, Nov 14, 2022",7:30p,Oklahoma City Thunder,122,Boston Celtics,126,,TD Garden,Regular Season
"Mon, Nov 14, 2022",7:30p,Phoenix Suns,112,Miami Heat,113,"19,600",Kaseya Center,Regular Season
"Mon, Nov 14, 2022",8:00p,Los Angeles Clippers,122,Houston Rockets,106,"16,098",Toyota Center,Regular Season
"Mon, Nov 14, 2022",8:00p,Atlanta Hawks,121,Milwaukee Bucks,106,"17,341",Fiserv Forum,Regular Season
"Mon, Nov 14, 2022",10:00p,San Antonio Spurs,95,Golden State Warriors,132,"18,064",Chase Center,Regular Season
"Tue, Nov 15, 2022",7:30p,Memphis Grizzlies,102,New Orleans Pelicans,113,"14,032",Smoothie King Center,Regular Season
"Tue, Nov 15, 2022",8:30p,Los Angeles Clippers,101,Dallas Mavericks,103,"19,810",American Airlines Center,Regular Season
"Tue, Nov 15, 2022",9:00p,New York Knicks,118,Utah Jazz,111,"18,206",Vivint Arena,Regular Season
"Tue, Nov 15, 2022",10:00p,San Antonio Spurs,110,Portland Trail Blazers,117,"19,012",Moda Center,Regular Season
"Tue, Nov 15, 2022",10:00p,Brooklyn Nets,121,Sacramento Kings,153,"17,611",Golden 1 Center,Regular Season
"Wed, Nov 16, 2022",7:00p,Indiana Pacers,125,Charlotte Hornets,113,"14,756",Spectrum Center,Regular Season
"Wed, Nov 16, 2022",7:00p,Minnesota Timberwolves,126,Orlando Magic,108,"16,527",Amway Center,Regular Season
"Wed, Nov 16, 2022",7:00p,Oklahoma City Thunder,121,Washington Wizards,120,"12,630",Capital One Arena,Regular Season
"Wed, Nov 16, 2022",7:30p,Boston Celtics,126,Atlanta Hawks,101,"18,165",State Farm Arena,Regular Season
"Wed, Nov 16, 2022",7:30p,Miami Heat,104,Toronto Raptors,112,"19,800",Scotiabank Arena,Regular Season
"Wed, Nov 16, 2022",8:00p,Cleveland Cavaliers,98,Milwaukee Bucks,113,"17,341",Fiserv Forum,Regular Season
"Wed, Nov 16, 2022",8:00p,Chicago Bulls,110,New Orleans Pelicans,124,"14,658",Smoothie King Center,Regular Season
"Wed, Nov 16, 2022",8:30p,Houston Rockets,101,Dallas Mavericks,92,"19,602",American Airlines Center,Regular Season
"Wed, Nov 16, 2022",10:00p,New York Knicks,106,Denver Nuggets,103,"18,210",Ball Arena,Regular Season
"Wed, Nov 16, 2022",10:00p,Golden State Warriors,119,Phoenix Suns,130,"17,071",Footprint Center,Regular Season
"Thu, Nov 17, 2022",10:00p,Brooklyn Nets,109,Portland Trail Blazers,107,"19,393",Moda Center,Regular Season
"Thu, Nov 17, 2022",10:00p,San Antonio Spurs,112,Sacramento Kings,130,"16,522",Golden 1 Center,Regular Season
"Thu, Nov 17, 2022",10:30p,Detroit Pistons,91,Los Angeles Clippers,96,"17,822",Crypto.com Arena,Regular Season
